indicatorName,indicatorCode,year,yearCode,Hull Machinery Value,Premium,Claim
SupplyVessel,SUP,2011,YR2011,39241666.67,6400000,400000
SupplyVessel,SUP,2012,YR2012,34150000,7150000,357500
SupplyVessel,SUP,2013,YR2013,31183366.67,6890000,344500
SupplyVessel,SUP,2014,YR2014,27135000,5952000,248000
SupplyVessel,SUP,2015,YR2015,30900000,6000000,300000
SupplyVessel,SUP,2016,YR2016,23625000,8250000,275000
SupplyVessel,SUP,2017,YR2017,28233333.33,5300000,265000
SupplyVessel,SUP,2018,YR2018,20525000,2500000,250000
SupplyVessel,SUP,2019,YR2019,20000000,5000000,250000
ContainerCarrier,CONT,2011,YR2011,25666666.67,1760000,220000
ContainerCarrier,CONT,2012,YR2012,26210033.33,2680000,268000
ContainerCarrier,CONT,2013,YR2013,25621111.11,2316000,193000
ContainerCarrier,CONT,2014,YR2014,22833333.33,925000,185000
ContainerCarrier,CONT,2015,YR2015,20547777.78,1458400,182300
ContainerCarrier,CONT,2016,YR2016,19100000,360000,180000
ContainerCarrier,CONT,2017,YR2017,17877777.78,640000,160000
ContainerCarrier,CONT,2018,YR2018,15655555.56,440000,110000
ContainerCarrier,CONT,2019,YR2019,14855555.56,1120000,112000
Tanker,TANK,2011,YR2011,32500000,3250000,650000
Tanker,TANK,2012,YR2012,33400000,3340000,668000
Tanker,TANK,2013,YR2013,37800000,3780000,869400
Tanker,TANK,2014,YR2014,35500000,3550000,887500
Tanker,TANK,2015,YR2015,36000000,4320000,720000
Tanker,TANK,2016,YR2016,34500000,5175000,1035000
Tanker,TANK,2017,YR2017,32500000,3250000,1300000
Tanker,TANK,2018,YR2018,35000000,3500000,805000
Tanker,TANK,2019,YR2019,37500000,4125000,1162500
